Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, R1, R2",0603,4,NC,
"C10, C24, C25, C5",CP_Elec_10x10.5,4,220uF,
"C11, C12, C13, C6, C7, C8",1206,6,10uF,
"C14, C16, C18, C9",0402,4,100nF,
"C15, C17, C20, C23",0402,4,1uF,
"C19, C21",0402,2,10nF,
C22,0402,1,15nF,
"C3, C4",0402,2,47pF,
D1,0603,1,LED-RED,
"D2, D3",D_SOD-123F,2,TPB2A100-123FL,
D4,SB1045L,1,SB1045L,SB1045L
J1,AMASS_XT30PW-M_1x02_P2.50mm_Horizontal,1,XT30PW-M,
J2,AMASS_XT30PW-F_1x02_P2.50mm_Horizontal,1,XT30PW-F,
J3,USB_C_Receptacle_HCTL_HC-TYPE-C-16P-01A,1,USB_C_Receptacle_USB2.0_16P,
L1,L_APV_APH1265,1,4.7uH,
"Q1, Q2, Q3, Q4",DFN-8_L3.0-W3.0-P0.65-BL-4,4,XRS100N06LD,
"R10, R13, R14, R9",0603,4,0R,
"R11, R12, R17, R18",0402,4,12.1k,
R15,0402,1,68k,
R16,0402,1,NC,
R19,0402,1,15k,
R20,0402,1,1.74k,
R21,0402,1,210k,
"R3, R4, R5, R6",0402,4,510R,
"R7, R8",1206,2,5mR,
RV1,Potentiometer_Bourns_3296X_Horizontal,1,200k,
RV2,Potentiometer_Bourns_3296X_Horizontal,1,50k,
U1,QFN-32-1EP_4x4mm_P0.4mm_EP2.65x2.65mm,1,SC8703,
U2,DFN-10_L2.0-W2.0-P0.40-BL-EP,1,CH224Q,
